name_uk;name_ru;oblast;raion;type;lat;lon
Olenevka;Оленевка;Crimea;;місто;45.38333;32.53333
Katerynivka;Катериновка;Donetsk;;місто;47.69011;38.75174
Vaniushkyne;Vaniushkyne;Donetsk;;місто;47.25507;38.27055
Svistuny;Svistuny;Donetsk;;місто;47.72639;38.40694
Sopych;Сопычь;Sumy;;місто;51.8503;34.36082
Shilova Balka;Shilova Balka;Kherson;;місто;46.81667;33.31667
Samiilove;Samiilove;Donetsk;;місто;47.25519;38.25317
Prokhody;Проходы;Sumy;;місто;50.9222;35.34466
Urzuf;Урзуф;Donetsk;;місто;46.91495;37.10426
Petrovskiy;Petrovskiy;Zaporizhzhia;;місто;47.85;35.45
Novozuyevka;Новозуевка;Crimea;;місто;45.2387;34.15456
Novo-Voznesenovka;Novo-Voznesenovka;Luhansk;;місто;48.0575;39.83111
Berdyanske;Berdyanske;Zaporizhzhia;;місто;46.96865;37.00579
Mykytske;Nikit·skoye;Sumy;;місто;52.04012;34.09298
Neskuchne;Нескучное;Kharkivs’ka Oblast’;;місто;50.20745;36.57144
Nadezhda;Надежда;Crimea;;місто;45.2069;35.09928
Makiivka;Макеевка;Sumy;;місто;51.23529;34.59246
Kurakhivka;Кураховка;Donetsk;;місто;48.03064;37.37245
Krasnaya Dolina;Krasnaya Dolina;Zaporizhzhia;;місто;46.98333;37.03333
Kovske;Kovske;Donetsk;;місто;47.23725;38.23915
Kotliarivske;Kotliarivske;Donetsk;;місто;47.46673;38.28964
Kyslychuvata;Кисличеватая;Dnipropetrovsk;;місто;47.85421;34.73102
Kazach’ye-Rudchenkoye;Kazach’ye-Rudchenkoye;Kharkivs’ka Oblast’;;місто;50.44148;35.97206
Irshyky;Irshyky;Khmelnytskyi;;місто;49.83457;27.39573
Derevetske;Derevetske;Zaporizhzhia;;місто;46.97503;37.05772
Bilosarayska Kosa;Белосарайская Коса;Donetsk;;місто;46.90275;37.34539
Vysoke;Володимирівка;Dnipropetrovsk;;місто;47.76287;34.85267
Lebedyn;Лебедин;Sumy;;місто;50.58518;34.4849
Khodorkivtsi;Ходорковцы;Lviv;;місто;49.57975;24.28166
Stari Bezradychi;Старые Безрадичи;Kyiv;;місто;50.16488;30.5749
Staryi Dobrotvir;Staryi Dobrotvir;Lviv;;місто;50.23154;24.37701
Druzhkivka;Дружковка;Donetsk;;місто;48.61897;37.52704
Yevhenivka;Евгеновка;Odesa;;місто;46.38703;29.2016
Shumy;Shumy;Vinnytsia;;місто;48.25616;28.55471
Tsyhanivka;Tsyhanivka;Odesa;;місто;47.81667;29.3
Pavlivka;Павловка;Odesa;;місто;47.24189;29.56943
Novorozivka;Новорозовка;Odesa;;місто;47.41914;29.32878
Movnyky;Мовники;Volyn;;місто;50.66195;24.12915
Khyzhivka;Khyzhivka;Zhytomyr;;місто;50.43447;27.42318
Hrabarivka;Hrabarivka;Vinnytsia;;місто;48.16414;28.64174
Domnytsya;Domnytsya;Odesa;;місто;47.8108;29.22711
Velyke Burylove;Великое Бурилово;Odesa;;місто;47.77714;29.2764
Bolhan;Bolhan;Vinnytsia;;місто;48.14373;28.73097
Oleksiivka;Алексеевка;Odesa;;місто;47.98951;28.92523
Zhydachiv;Жидачов;Lviv;;місто;49.3832;24.13918
Perebrody;Perebrody;Zhytomyr;;місто;51.28333;28.16667
Marochkyne;Марочкино;Chernihiv;;місто;52.09547;31.32976
Korchevia;Корчевье;Chernihiv;;місто;51.86534;30.7765
Zamok;Замок;Lviv;;місто;50.16316;23.64766
Vasylivka;Васильевка;Zaporizhzhia;;місто;47.44218;35.28213
Troitskoye;Troitskoye;Kharkivs’ka Oblast’;;місто;49.97361;36.90361
Horodyshche;Horodyshche;Khmelnytskyi;;місто;49.26568;27.65206
Sokyrna;Сокирна;Cherkasy;;місто;49.54235;31.87824
Pavlo-Hryhorivka;Pavlo-Hryhorivka;Dnipropetrovsk;;місто;48.53588;34.15304
Krasnoye;Krasnoye;Cherkasy;;місто;49.48333;32.11667
Otruba;Otruba;Sumy;;місто;51.32461;34.30535
Novofedorovka;Novofedorovka;Kherson;;місто;46.25;32.3
Kovyl’noye;Ковыльное;Crimea;;місто;45.69028;33.52775
Krasnopillia;Krasnopillia;Donetsk;;місто;48.98839;37.41484
Ivano-Frankove;Ивано-Франково;Lviv;;місто;49.92167;23.72495
Hvozdavka Druha;Hvozdavka Druha;Odesa;;місто;47.88979;30.08836
Hvozdavka Persha;Гвоздавка Первая;Odesa;;місто;47.89584;30.07502
Hryhorivka;Hryhorivka;Kharkivs’ka Oblast’;;місто;48.8742;36.91553
Velykyi Hlybochok;Bol’shoy Glubochek;Ternopil;;місто;49.62064;25.52881
Malozakharyne;Малозахарино;Dnipropetrovsk;;місто;48.0613;34.8208
Zyubrovka;Zyubrovka;Khmelnytskyi;;місто;48.63684;26.60159
Zybkove;Зыбково;Kirovohrad;;місто;48.77001;33.46913
Zybiny;Зыбины;Crimea;;місто;45.23674;34.64987
Ziatkivtsi;Ziatkivtsi;Vinnytsia;;місто;48.73198;29.47642
Ziankivtsi;Zyan’kovtsy;Khmelnytskyi;;місто;49.20429;27.3424
Zhalianka;Zhalianka;Rivne;;місто;50.74586;26.64996
Zvir;Зверь;Lviv;;місто;49.38249;23.10437
Zvonetske;Звонецкое;Dnipropetrovsk;;місто;48.23969;35.17593
Zvonetskyi Khutir;Zvonetskyi Khutir;Dnipropetrovsk;;місто;48.23779;35.03116
Zvyzhen;Zvyzhen;Lviv;;місто;49.85953;25.23716
Zvizdivka;Звездовка;Rivne;;місто;50.89015;26.18325
